id,problem_number,rating,reviewed_at,comments,state,due,stability,difficulty,elapsed_days,last_elapsed_days,scheduled_days,learning_steps,review
1,1,4,2026-01-25 15:22:23,,0,2026-01-25T15:22:23.582Z,0,0,0,0,0,0,2026-01-25T15:22:23.582Z
2,2,1,2026-01-25 15:36:11,,0,2026-01-25T15:36:11.791Z,0,0,0,0,0,0,2026-01-25T15:36:11.791Z
3,2,1,2026-01-26 17:21:07,,2,2026-01-25T15:36:11.791Z,0.212,6.4133,1,0,1,0,2026-01-26T17:21:07.873Z
4,242,4,2026-01-27 18:29:38,,0,2026-01-27T18:29:38.789Z,0,0,0,0,0,0,2026-01-27T18:29:38.789Z
5,347,2,2026-01-27 18:33:10,,0,2026-01-27T18:33:10.488Z,0,0,0,0,0,0,2026-01-27T18:33:10.488Z
6,102,3,2026-01-27 18:34:38,,0,2026-01-27T18:34:38.441Z,0,0,0,0,0,0,2026-01-27T18:34:38.441Z
7,2,4,2026-01-28 15:16:38,,2,2026-01-26T17:21:07.873Z,0.10088579,8.80630447,2,1,1,0,2026-01-28T15:16:38.206Z
8,199,3,2026-01-28 16:03:44,,0,2026-01-28T16:03:44.721Z,0,0,0,0,0,0,2026-01-28T16:03:44.721Z
9,230,2,2026-01-28 16:03:56,,0,2026-01-28T16:03:56.895Z,0,0,0,0,0,0,2026-01-28T16:03:56.895Z
10,217,4,2026-01-28 16:04:22,,0,2026-01-28T16:04:22.462Z,0,0,0,0,0,0,2026-01-28T16:04:22.462Z
11,11,2,2026-01-28 16:04:27,,0,2026-01-28T16:04:27.690Z,0,0,0,0,0,0,2026-01-28T16:04:27.690Z
12,125,4,2026-01-28 16:04:32,,0,2026-01-28T16:04:32.575Z,0,0,0,0,0,0,2026-01-28T16:04:32.575Z
13,739,3,2026-01-28 16:04:38,,0,2026-01-28T16:04:38.719Z,0,0,0,0,0,0,2026-01-28T16:04:38.719Z
14,20,4,2026-01-28 16:04:58,,0,2026-01-28T16:04:58.386Z,0,0,0,0,0,0,2026-01-28T16:04:58.386Z
15,49,3,2026-01-28 16:32:14,,0,2026-01-28T16:32:14.743Z,0,0,0,0,0,0,2026-01-28T16:32:14.743Z
16,271,2,2026-01-28 16:32:28,,0,2026-01-28T16:32:28.206Z,0,0,0,0,0,0,2026-01-28T16:32:28.206Z
